current object'et:  Index1$WikiItem@279f2327  current.str:                               Anarchism. current.next:  Index1$WikiItem@2ff4acd0
current object'et:  Index1$WikiItem@31befd9f  current.str:                              Animation.  current.next:  Index1$WikiItem@1c20c684
current object'et:  Index1$WikiItem@1c20c684  current.str:                                 Apollo.  current.next:  Index1$WikiItem@1fb3ebeb
current object'et:  Index1$WikiItem@1fb3ebeb  current.str:                           Andre Agassi.  current.next:  Index1$WikiItem@548c4f57
current object'et:  Index1$WikiItem@548c4f57  current.str:                  Afroasiatic languages.  current.next:  Index1$WikiItem@1218025c
current object'et:  Index1$WikiItem@1218025c  current.str:                                Andorra.  current.next:  Index1$WikiItem@816f27d
current object'et:   Index1$WikiItem@816f27d  current.str:                        Arithmetic mean.  current.next:  Index1$WikiItem@87aac27
current object'et:   Index1$WikiItem@87aac27  current.str:           American Football Conference.  current.next:  Index1$WikiItem@3e3abc88
current object'et:  Index1$WikiItem@3e3abc88  current.str:                            Animal Farm.  current.next:  Index1$WikiItem@6ce253f1
current object'et:  Index1$WikiItem@6ce253f1  current.str:                              Amphibian.  current.next:  Index1$WikiItem@53d8d10a
current object'et:  Index1$WikiItem@53d8d10a  current.str:                                 Alaska.  current.next:  Index1$WikiItem@e9e54c2
current object'et:   Index1$WikiItem@e9e54c2  current.str:                            Agriculture.  current.next:  Index1$WikiItem@65ab7765
current object'et:  Index1$WikiItem@65ab7765  current.str:                          Aldous Huxley.  current.next:  Index1$WikiItem@1b28cdfa
current object'et:  Index1$WikiItem@1b28cdfa  current.str:                                  Algae.  current.next:  Index1$WikiItem@eed1f14
current object'et:   Index1$WikiItem@eed1f14  current.str:                   Analysis of variance.  current.next:  Index1$WikiItem@7229724f
current object'et:  Index1$WikiItem@7229724f  current.str:                                 Alkane.  current.next:  Index1$WikiItem@4c873330
current object'et:  Index1$WikiItem@4c873330  current.str:                                 Appeal.  current.next:  Index1$WikiItem@119d7047
current object'et:  Index1$WikiItem@119d7047  current.str:                                 Answer.  current.next:  Index1$WikiItem@776ec8df
current object'et:  Index1$WikiItem@776ec8df  current.str:                        Appellate court.  current.next:  Index1$WikiItem@4eec7777
current object'et:  Index1$WikiItem@4eec7777  current.str:                  America the Beautiful.  current.next:  Index1$WikiItem@3b07d329
current object'et:  Index1$WikiItem@3b07d329  current.str:                   Assistive technology.  current.next:  Index1$WikiItem@41629346
current object'et:  Index1$WikiItem@41629346  current.str:                                 Abacus.  current.next:  Index1$WikiItem@404b9385
current object'et:  Index1$WikiItem@404b9385  current.str:                                   Acid.  current.next:  Index1$WikiItem@6d311334
current object'et:  Index1$WikiItem@6d311334  current.str:                                Asphalt.  current.next:  Index1$WikiItem@682a0b20
current object'et:  Index1$WikiItem@682a0b20  current.str:  American National Standards Institute.  current.next:  Index1$WikiItem@3d075dc0
current object'et:  Index1$WikiItem@3d075dc0  current.str:                              Apollo 11.  current.next:  Index1$WikiItem@214c265e
current object'et:  Index1$WikiItem@214c265e  current.str:                               Apollo 8.  current.next:  Index1$WikiItem@448139f0
current object'et:  Index1$WikiItem@448139f0  current.str:                              Astronaut.  current.next:  Index1$WikiItem@7cca494b
current object'et:  Index1$WikiItem@7cca494b  current.str:                      A Modest Proposal.  current.next:  null
